case_id,y_left,y_right,torque_over_normal,initial_margin,failure_score,dy_left,dy_right,delta_difference,repair_sign,field_l2,field_success,scalar_random_success,scalar_global_success,no_repair_success
86,-0.36946333370982254,0.09914193496368995,-0.06253492940845995,-0.22114019808197244,0.971756534396732,0.11057009904098622,-0.11057009904098622,-0.22114019808197244,-1,0.15636973365669907,1.0,0.0,1.0,0.0
87,-0.44250375808344217,0.7001711811143096,-0.8116318019818406,-1.6443067411795922,0.9999999999962486,0.8221533705897961,-0.8221533705897961,-1.6443067411795922,-1,1.162700447038843,1.0,0.0,1.0,0.0
88,0.38093961046229574,-0.4894505430800002,0.4754858790575245,-1.0358760325998204,0.9999999366136048,-0.5179380162999102,0.5179380162999102,1.0358760325998204,1,0.7324749671199502,1.0,0.0,0.0,0.0
89,0.42656397071923235,-0.1432635755617968,0.3324870503526245,-0.5923145966336536,0.9999234150621228,-0.2961572983168268,0.2961572983168268,0.5923145966336536,1,0.4188296678754311,1.0,0.0,0.0,0.0
90,0.43113343604024945,0.5460361508976321,-0.6937465175781328,-0.49864923243551545,0.9996573258121508,0.24932461621775773,-0.24932461621775773,-0.49864923243551545,-1,0.3525982536886199,1.0,0.0,1.0,0.0
91,-0.5061447825340637,-0.17750487112668467,-0.0671522827164287,-0.08579219412380773,0.7978120133729558,0.042896097061903865,-0.042896097061903865,-0.08579219412380773,-1,0.06066424223781712,1.0,0.0,1.0,0.0
92,-0.30777169217339045,-0.7343996433617008,0.10910117840800271,-0.22572912959631314,0.9737033740617058,-0.11286456479815657,0.11286456479815657,0.22572912959631314,1,0.15961459824889002,1.0,1.0,0.0,0.0
93,0.7003706395829459,-0.20031047574411442,0.0721988984574704,-0.6628800137845308,0.9999752356387628,-0.3314400068922654,0.3314400068922654,0.6628800137845308,1,0.4687269528600738,1.0,1.0,0.0,0.0
94,-0.17650626714185336,-0.08579928199482945,0.7039380444973216,-0.30323105935029765,0.9922454977926135,-0.15161552967514882,0.15161552967514882,0.30323105935029765,1,0.21441673833297592,1.0,0.0,0.0,0.0
95,-0.2873543333454663,0.22359786331710563,-0.030805581731404463,-0.23175777839397632,0.9760635303525623,0.11587888919698816,-0.11587888919698816,-0.23175777839397632,-1,0.1638774966951098,1.0,1.0,1.0,0.0
96,0.05785375883177757,0.6220546882902258,-0.8042433791595164,-1.0584443086179647,0.9999999558250956,0.5292221543089823,-0.5292221543089823,-1.0584443086179647,-1,0.7484331481320697,1.0,0.0,1.0,0.0
97,0.4865556468786163,-0.29374603926717807,0.2779857181158907,-0.7482874042616849,0.9999936851388079,-0.37414370213084247,0.37414370213084247,0.7482874042616849,1,0.5291190978299168,1.0,1.0,0.0,0.0
98,0.5110571524556338,-0.610576802770129,0.25329736471298125,-1.064931319938744,0.9999999601801839,-0.532465659969372,0.532465659969372,1.064931319938744,1,0.7530201578266267,1.0,0.0,0.0,0.0
99,-0.1633112848230569,0.045698983760408485,0.6667880623349756,-0.14777779375151018,0.9140755417631306,-0.07388889687575509,0.07388889687575509,0.14777779375151018,1,0.10449468007047986,1.0,1.0,0.0,0.0
100,-0.4006292676599911,-0.0636926789436163,-0.5089918114766367,-0.5359284001930116,0.9998112416965867,0.2679642000965058,-0.2679642000965058,-0.5359284001930116,-1,0.3789586060069363,1.0,1.0,1.0,0.0
101,-0.33377019992541757,0.6866319639076988,-0.7372644790767331,-1.4476666429098493,0.9999999999127869,0.7238333214549246,-0.7238333214549246,-1.4476666429098493,-1,1.0236549000991186,1.0,1.0,1.0,0.0
102,0.477924560614547,-0.18117885079312535,-0.25725357900514034,-0.09184983240253203,0.8129961727030289,-0.045924916201266014,0.045924916201266014,0.09184983240253203,1,0.06494763934267828,1.0,1.0,0.0,0.0
103,-0.5002542268754878,-0.0869865432075525,-0.3952243925927804,-0.49849207626071573,0.9996564633704778,0.24924603813035787,-0.24924603813035787,-0.49849207626071573,-1,0.3524871274917137,1.0,0.0,1.0,0.0
104,0.20943033563983537,0.6444633149322223,-0.33016937373525523,-0.45520235302764217,0.9993135137557225,0.22760117651382109,-0.22760117651382109,-0.45520235302764217,-1,0.3218766706379185,1.0,1.0,1.0,0.0
105,-0.6006684166820648,-0.3932371832181866,-0.5898622138096252,-0.4872934472735034,0.9995890775975961,0.2436467236367517,-0.2436467236367517,-0.4872934472735034,-1,0.3445685009948636,1.0,1.0,1.0,0.0
106,0.442646452807423,-0.4002418748814359,0.5862191024880081,-1.119107430176867,0.9999999832642535,-0.5595537150884335,0.5595537150884335,1.119107430176867,1,0.7913284527543134,1.0,1.0,0.0,0.0
107,0.19935999488092615,-0.1496098211948591,0.6146863209001148,-0.6536561369759,0.9999712975161746,-0.32682806848795,0.32682806848795,0.6536561369759,1,0.46220468701986167,1.0,1.0,0.0,0.0
108,0.00390948259298729,0.2849749594790725,0.8526860111126664,-0.2616205342265812,0.9850197429579376,-0.1308102671132906,0.1308102671132906,0.2616205342265812,1,0.18499365384926283,1.0,0.0,0.0,0.0
109,0.3638398580188831,0.37651057221540163,0.7016892912876997,-0.3790185770911812,0.9976809993193204,-0.1895092885455906,0.1895092885455906,0.3790185770911812,1,0.26800660605685045,1.0,0.0,0.0,0.0
