suite,baseline,seed,case_id,contact_count,positive_prior,noise_scale,mask_rate,limit_scale,active_count,error_sign,initial_error,initial_margin,field_feasible,success,post_margin,effort,field_effort,disagreement_l2,correct_direction,clipped
biased_scalar_grid,signed_margin,500,8,4,0.5,0.0,0.0,1.0,4,1,0.4661333231085646,-0.3899492912317426,1.0,1.0,-1.3877787807814457e-17,0.19606422874260368,0.19606422874260368,0.0,1.0,0.0
biased_scalar_grid,counterfactual_field,500,8,4,0.5,0.0,0.0,1.0,4,1,0.4661333231085646,-0.3899492912317426,1.0,1.0,-1.3877787807814457e-17,0.19606422874260368,0.19606422874260368,0.0,1.0,0.0
biased_scalar_grid,scalar_random_sign,500,9,4,0.5,0.0,0.0,1.0,4,-1,-0.9485106283762833,-0.6227174611745137,1.0,1.0,5.551115123125783e-17,0.28705662024203515,0.28705662024203515,0.0,1.0,0.0
biased_scalar_grid,scalar_global_sign,500,9,4,0.5,0.0,0.0,1.0,4,-1,-0.9485106283762833,-0.6227174611745137,1.0,0.0,-1.2454349223490269,0.28705662024203515,0.28705662024203515,0.656673387882028,0.0,0.0
biased_scalar_grid,scalar_prior_sample,500,9,4,0.5,0.0,0.0,1.0,4,-1,-0.9485106283762833,-0.6227174611745137,1.0,1.0,5.551115123125783e-17,0.28705662024203515,0.28705662024203515,0.0,1.0,0.0
biased_scalar_grid,signed_margin,500,9,4,0.5,0.0,0.0,1.0,4,-1,-0.9485106283762833,-0.6227174611745137,1.0,1.0,5.551115123125783e-17,0.28705662024203515,0.28705662024203515,0.0,1.0,0.0
biased_scalar_grid,counterfactual_field,500,9,4,0.5,0.0,0.0,1.0,4,-1,-0.9485106283762833,-0.6227174611745137,1.0,1.0,5.551115123125783e-17,0.28705662024203515,0.28705662024203515,0.0,1.0,0.0
biased_scalar_grid,scalar_random_sign,500,10,4,0.5,0.0,0.0,1.0,4,-1,-0.7251847751115666,-0.5541838791904812,1.0,0.0,-1.1083677583809624,0.34878085239039625,0.34878085239039625,0.7148956915748315,0.0,0.0
biased_scalar_grid,scalar_global_sign,500,10,4,0.5,0.0,0.0,1.0,4,-1,-0.7251847751115666,-0.5541838791904812,1.0,0.0,-1.1083677583809624,0.34878085239039625,0.34878085239039625,0.7148956915748315,0.0,0.0
biased_scalar_grid,scalar_prior_sample,500,10,4,0.5,0.0,0.0,1.0,4,-1,-0.7251847751115666,-0.5541838791904812,1.0,0.0,-1.1083677583809624,0.34878085239039625,0.34878085239039625,0.7148956915748315,0.0,0.0
biased_scalar_grid,signed_margin,500,10,4,0.5,0.0,0.0,1.0,4,-1,-0.7251847751115666,-0.5541838791904812,1.0,1.0,1.1102230246251565e-16,0.34878085239039625,0.34878085239039625,0.0,1.0,0.0
